label,uri
Administrative and political divisions,http://id.worldcat.org/fast/796826
Africa,http://id.worldcat.org/fast/1239509
Albania,http://id.worldcat.org/fast/1226682
Algeria,http://id.worldcat.org/fast/1205459
Altitudes,http://id.worldcat.org/fast/806212
Andorra,http://id.worldcat.org/fast/1209980
Angola,http://id.worldcat.org/fast/1208401
Anguilla,http://id.worldcat.org/fast/1211573
Armenia (Republic),http://id.worldcat.org/fast/1262063
Atlanta Regional Commission,http://id.worldcat.org/fast/519320
Australia,http://id.worldcat.org/fast/1204543
Austria,http://id.worldcat.org/fast/1204901
Bicycle trails,http://id.worldcat.org/fast/831479
Boston (Mass.) Assessing Department,http://id.worldcat.org/fast/1809002
Boston Redevelopment Authority,http://id.worldcat.org/fast/512578
Boundaries,http://id.worldcat.org/fast/837076
Brazil,http://id.worldcat.org/fast/1206830
Brazil--São Paulo,http://id.worldcat.org/fast/1205761
Bridges,http://id.worldcat.org/fast/838671
Buildings,http://id.worldcat.org/fast/840962
Bus lines,http://id.worldcat.org/fast/842040
Bus shelters,http://id.worldcat.org/fast/1909341
California--Redlands,http://id.worldcat.org/fast/1202804
California--San Francisco,http://id.worldcat.org/fast/1204481
Cambridge (Mass.). Community Development Department,http://id.worldcat.org/fast/1811062
Canada,http://id.worldcat.org/fast/1204310
Canadian provinces,http://id.worldcat.org/fast/845187
Canadian territories and possessions,http://id.worldcat.org/fast/1352224
Canals,http://id.worldcat.org/fast/845230
Capitals (Cities),http://id.worldcat.org/fast/846490
Census districts,http://id.worldcat.org/fast/850608
Central Artery/Third Harbor Tunnel Project (Mass.),http://id.worldcat.org/fast/643447
China,http://id.worldcat.org/fast/1206073
China--Beijing,http://id.worldcat.org/fast/1205740
China. Guo jia ce hui ju,http://id.worldcat.org/fast/597753
Churches,http://id.worldcat.org/fast/860599
Cities and towns,http://id.worldcat.org/fast/861748
City halls,http://id.worldcat.org/fast/862139
City planning,http://id.worldcat.org/fast/862177
Clinics,http://id.worldcat.org/fast/864441
Commons,http://id.worldcat.org/fast/869839
Conservation of natural resources,http://id.worldcat.org/fast/875502
Contours (Cartography),http://id.worldcat.org/fast/876798
Demographic surveys,http://id.worldcat.org/fast/890138
Digital elevation models,http://id.worldcat.org/fast/1893500
Drainage,http://id.worldcat.org/fast/897411
Driveways,http://id.worldcat.org/fast/898325
Dwellings,http://id.worldcat.org/fast/899978
Education,http://id.worldcat.org/fast/902499
England--London,http://id.worldcat.org/fast/1204271
"Environmental Systems Research Institute (Redlands, Calif.)",http://id.worldcat.org/fast/584710
Europe,http://id.worldcat.org/fast/1245064
Express highways,http://id.worldcat.org/fast/918809
Fire stations,http://id.worldcat.org/fast/925546
Floodplains,http://id.worldcat.org/fast/927562
Floods,http://id.worldcat.org/fast/927573
Food,http://id.worldcat.org/fast/930458
Fresh water,http://id.worldcat.org/fast/934984
Geography,http://id.worldcat.org/fast/940469
Georgia--Atlanta,http://id.worldcat.org/fast/1204627
Habitat (Ecology),http://id.worldcat.org/fast/950038
Historic buildings,http://id.worldcat.org/fast/957723
Historic buildings--Conservation and restoration,http://id.worldcat.org/fast/957729
Historic preservation,http://id.worldcat.org/fast/957821
Historic sites,http://id.worldcat.org/fast/957846
Hospitals,http://id.worldcat.org/fast/961166
Hotels,http://id.worldcat.org/fast/961767
Houston (Tex.). City Planning Department,http://id.worldcat.org/fast/1824706
Hydrants,http://id.worldcat.org/fast/964566
Hydrography,http://id.worldcat.org/fast/965102
Hydrology,http://id.worldcat.org/fast/965147
Index maps,http://id.worldcat.org/fast/968955
India,http://id.worldcat.org/fast/1210276
India--Mumbai,http://id.worldcat.org/fast/1802300
India--New Delhi,http://id.worldcat.org/fast/1205318
Lakes,http://id.worldcat.org/fast/990901
Land cover,http://id.worldcat.org/fast/1762898
Land tenure,http://id.worldcat.org/fast/991362
Land use,http://id.worldcat.org/fast/991472
Land value taxation,http://id.worldcat.org/fast/991657
Libraries,http://id.worldcat.org/fast/997341
Manholes,http://id.worldcat.org/fast/1007701
Massachusetts,http://id.worldcat.org/fast/1204307
Massachusetts--Boston,http://id.worldcat.org/fast/1205012
Massachusetts--Brookline,http://id.worldcat.org/fast/1207980
Massachusetts--Brookline (Town),http://id.worldcat.org/fast/1336732
Massachusetts--Cambridge,http://id.worldcat.org/fast/1205363
Massachusetts--Lawrence,http://id.worldcat.org/fast/1204257
Massachusetts--Sommerville,http://id.worldcat.org/fast/1282882
Massachusetts. Executive Office of Environmental Affairs,http://id.worldcat.org/fast/533150
MassGIS (Office : Mass.),http://id.worldcat.org/fast/737585
Merrimack Valley Planning Commission,http://id.worldcat.org/fast/599037
Mexico,http://id.worldcat.org/fast/1211700
Mexico--Baja California (State),http://id.worldcat.org/fast/1330676
Mexico--Chihuahua (State),http://id.worldcat.org/fast/1330630
Mexico--Coahuila (State),http://id.worldcat.org/fast/1330988
Mexico--Mexico City,http://id.worldcat.org/fast/1206137
Mexico--Nuevo León (State),http://id.worldcat.org/fast/1330649
Mexico--Sonora (State),http://id.worldcat.org/fast/1330176
Mexico--Tamaulipas (State),http://id.worldcat.org/fast/1330504
"Names, Geographical",http://id.worldcat.org/fast/1032409
Natural areas,http://id.worldcat.org/fast/1033960
Neighborhoods,http://id.worldcat.org/fast/1715963
New Jersey,http://id.worldcat.org/fast/1208379
New Jersey. Department of Environmental Protection,http://id.worldcat.org/fast/1837366
New York (N.Y.). Department of City Planning,http://id.worldcat.org/fast/1837527
New York (State),http://id.worldcat.org/fast/1210280
New York (State)--New York,http://id.worldcat.org/fast/1204333
New York (State)--New York--Bronx,http://id.worldcat.org/fast/1313050
New York (State)--New York--Brooklyn ,http://id.worldcat.org/fast/1312516
New York (State)--New York--Manhattan,http://id.worldcat.org/fast/1312688
New York (State). Department of Taxation and Finance,http://id.worldcat.org/fast/1837713
Open spaces,http://id.worldcat.org/fast/1046099
Outdoor recreation,http://id.worldcat.org/fast/1049159
Parking lots,http://id.worldcat.org/fast/1053672
Parking meters,http://id.worldcat.org/fast/1053692
Parks,http://id.worldcat.org/fast/1053705
Plants,http://id.worldcat.org/fast/1065823
Police stations,http://id.worldcat.org/fast/1068694
Population,http://id.worldcat.org/fast/1071476
Post office buildings,http://id.worldcat.org/fast/1072709
Postal codes,http://id.worldcat.org/fast/1072860
Public utilities,http://id.worldcat.org/fast/1083130
Radio and television towers,http://id.worldcat.org/fast/1087188
Railroads,http://id.worldcat.org/fast/1088711
Recreation,http://id.worldcat.org/fast/1091713
Rivers,http://id.worldcat.org/fast/1098312
Roads,http://id.worldcat.org/fast/1098511
Roads--Interchanges and intersections,http://id.worldcat.org/fast/1098660
Schools,http://id.worldcat.org/fast/1107958
Service stations,http://id.worldcat.org/fast/1113497
Servitudes,http://id.worldcat.org/fast/1113531
Sidewalks,http://id.worldcat.org/fast/1118160
South Africa,http://id.worldcat.org/fast/1204616
South Africa--Cape Town,http://id.worldcat.org/fast/1204844
Squatter settlements,http://id.worldcat.org/fast/1131111
Street addresses,http://id.worldcat.org/fast/1134645
Streets,http://id.worldcat.org/fast/1134794
Subway stations,http://id.worldcat.org/fast/1136966
Subways,http://id.worldcat.org/fast/1136975
Taxation,http://id.worldcat.org/fast/1143876
Tele Atlas B.V.,http://id.worldcat.org/fast/683084
Texas--Houston,http://id.worldcat.org/fast/1205077
Traffic signs and signals,http://id.worldcat.org/fast/1154277
Trails,http://id.worldcat.org/fast/1154418
Transportation,http://id.worldcat.org/fast/1155007
United States,http://id.worldcat.org/fast/1204155
United States. Bureau of the Census,http://id.worldcat.org/fast/580803
United States. Bureau of Transportation Statistics,http://id.worldcat.org/fast/690477
United States. Federal Emergency Management Agency,http://id.worldcat.org/fast/528615
United States. National Imagery and Mapping Agency,http://id.worldcat.org/fast/721814
Villages,http://id.worldcat.org/fast/1166969
Washington (D.C.),http://id.worldcat.org/fast/1204505
Water,http://id.worldcat.org/fast/1171139
Water districts,http://id.worldcat.org/fast/1171690
Wetlands,http://id.worldcat.org/fast/1174194
Zip codes,http://id.worldcat.org/fast/1184508
Zoning,http://id.worldcat.org/fast/1184615
